Date,mean_sentiment,p_sum,news_count
2022-08-01,0.13840399999999997,4.8441399999999994,35
2022-08-02,0.06919004166666667,1.6605610000000002,24
2022-08-03,0.1640597,4.921791,30
2022-08-04,0.1543878,3.859695,25
2022-08-05,0.11589514285714285,2.433798,21
2022-08-08,0.08533870967741936,2.6455,31
2022-08-09,0.13095628125,4.190601,32
2022-08-10,0.1307936129032258,4.054602,31
2022-08-11,0.15452941935483872,4.790412,31
2022-08-12,0.1405869393939394,4.639369,33
2022-08-15,0.11444443333333335,3.433333,30
2022-08-16,0.15023734782608694,6.910918,46
2022-08-17,0.14754723529411765,5.016606,34
2022-08-18,0.11709556666666666,3.512867,30
2022-08-19,0.08356524137931035,2.423392,29
2022-08-22,0.11184963333333334,3.355489,30
2022-08-23,0.11712136363636363,5.15334,44
2022-08-24,0.15552444,3.8881110000000003,25
2022-08-25,0.12372923529411765,2.103397,17
2022-08-26,0.12471422580645161,3.866141,31
2022-08-29,0.10359032558139535,4.454384,43
2022-08-30,0.06985394285714286,2.444888,35
2022-08-31,0.032857874999999995,0.7885889999999999,24
2022-09-01,0.09497779069767441,4.084045,43
2022-09-02,0.08842003999999999,2.210501,25
2022-09-05,0.1560625,0.936375,6
2022-09-06,0.06243610526315789,2.372572,38
2022-09-07,0.09239571428571428,4.52739,49
2022-09-08,0.11772229268292683,4.826614,41
2022-09-09,0.15380644,7.690322,50
2022-09-12,0.13588455555555556,4.891844,36
2022-09-13,0.1309229487179487,5.105995,39
2022-09-14,0.11500231578947369,4.370088,38
2022-09-15,0.17049893333333332,7.672452,45
2022-09-16,0.11085727272727273,3.65829,33
2022-09-19,0.08906628125,2.850121,32
2022-09-20,0.10071128571428571,4.229874,42
2022-09-21,0.12742955555555555,3.440598,27
2022-09-22,0.08277272093023255,3.559227,43
2022-09-23,0.02539454166666667,0.609469,24
2022-09-26,0.08066373469387755,3.9525230000000002,49
2022-09-27,0.11330520000000001,3.399156,30
2022-09-28,0.037003415094339624,1.961181,53
2022-09-29,0.053477250000000004,3.208635,60
2022-09-30,-0.03832644186046512,-1.648037,43
2022-10-03,0.10569997619047619,4.439399,42
2022-10-04,0.13595623076923077,5.302293,39
2022-10-05,0.12451126829268294,5.104962,41
2022-10-06,0.12918827272727273,1.421071,11
2022-10-07,0.0759256857142857,2.657399,35
2022-10-10,0.05439827777777778,1.9583380000000001,36
2022-10-11,0.06023331111111111,2.710499,45
2022-10-12,0.14743936585365855,6.045014,41
2022-10-13,0.09086126666666668,4.088757,45
2022-10-14,0.13401606896551724,3.886466,29
2022-10-17,0.10849254716981131,5.750105,53
2022-10-18,0.1398811,6.994055,50
2022-10-19,0.04747437931034483,1.376757,29
2022-10-20,0.0851734705882353,2.895898,34
2022-10-21,0.10131120930232558,4.356382,43
2022-10-24,0.11265669642857143,6.308775,56
2022-10-25,0.12640390566037735,6.699407,53
2022-10-26,0.09996448888888888,4.498402,45
2022-10-27,0.06020528888888889,2.709238,45
2022-10-28,0.08796844927536232,6.069823,69
2022-10-31,0.12437803278688525,7.58706,61
2022-11-01,0.03836073076923077,0.997379,26
2022-11-02,0.04718446666666667,1.415534,30
2022-11-03,0.051796222222222216,1.8646639999999999,36
2022-11-04,0.07867788888888888,2.832404,36
2022-11-07,0.029929703703703705,1.616204,54
2022-11-08,0.0878307037037037,2.371429,27
2022-11-09,0.07027383720930232,3.021775,43
2022-11-10,0.05799270212765958,2.725657,47
2022-11-11,0.07157761538461538,2.791527,39
2022-11-14,0.07766367567567567,2.8735559999999998,37
2022-11-15,0.11683923076923076,3.03782,26
2022-11-16,0.1313903947368421,4.992835,38
2022-11-17,0.11429582608695651,2.6288039999999997,23
2022-11-18,0.14801307692307691,3.84834,26
2022-11-21,0.0929426,3.252991,35
2022-11-22,0.1626383448275862,4.716512,29
2022-11-23,0.06269026470588235,2.131469,34
2022-11-24,0.10426535714285713,1.4597149999999999,14
2022-11-25,0.07123070588235295,2.421844,34
2022-11-28,0.006261149253731342,0.4194969999999999,67
2022-11-29,0.05890732608695652,2.709737,46
2022-11-30,0.07653548888888889,3.444097,45
2022-12-01,0.038720022222222227,1.742401,45
2022-12-02,0.12840479411764708,4.365763,34
2022-12-05,0.09598508333333333,3.455463,36
2022-12-06,0.08212124,4.106062,50
2022-12-07,0.07035593333333333,3.166017,45
2022-12-08,0.070024775,2.800991,40
2022-12-09,0.1164016818181818,2.560837,22
2022-12-12,0.18143316666666665,1.0885989999999999,6
2022-12-13,0.12375036666666667,3.712511,30
2022-12-14,0.12145,2.55045,21
2022-12-15,0.08100146153846154,2.106038,26
2022-12-16,0.07352826923076923,1.911735,26
2022-12-19,0.06037577777777777,1.6301459999999999,27
2022-12-20,0.06650764285714286,1.862214,28
2022-12-21,0.14555510344827585,4.221098,29
2022-12-22,0.087389375,3.495575,40
2022-12-23,0.1089899090909091,2.397778,22
2022-12-26,0.109252875,0.874023,8
2022-12-27,0.11132923076923075,4.3418399999999995,39
2022-12-28,0.06783203921568627,3.459434,51
2022-12-29,0.05364226315789474,2.038406,38
2022-12-30,0.10042277419354839,3.113106,31
2023-01-02,0.1814986923076923,2.359483,13
2023-01-03,0.0854155625,2.733298,32
2023-01-04,0.0377286,2.075073,55
2023-01-05,0.06240482352941177,2.121764,34
2023-01-06,0.1377468108108108,5.096632,37
2023-01-09,0.12070837142857142,4.224793,35
2023-01-10,0.14772742857142857,3.102276,21
2023-01-11,0.0933910652173913,4.295989,46
2023-01-12,0.0941824375,3.013838,32
2023-01-13,0.13759539393939393,4.540648,33
2023-01-16,0.1181183125,1.889893,16
2023-01-17,0.17477247058823528,5.942264,34
2023-01-18,0.1273476956521739,5.857994,46
2023-01-19,0.11707106896551725,3.395061,29
2023-01-20,0.1496748181818182,4.939269,33
2023-01-23,0.1305423125,6.266031,48
2023-01-24,0.12315953333333333,5.542179,45
2023-01-25,0.15855595238095238,3.329675,21
2023-01-26,0.16844746428571428,4.7165289999999995,28
2023-01-27,0.1181277,3.543831,30
2023-01-30,0.07817373913043478,3.595992,46
2023-01-31,0.09542873170731707,3.912578,41
2023-02-01,0.120271,5.291924,44
2023-02-02,0.06318631372549019,3.222502,51
2023-02-03,0.0693852463768116,4.787582,69
2023-02-06,0.1328029393939394,4.382497,33
2023-02-07,0.10291022727272728,4.52805,44
2023-02-08,0.13340314705882353,4.535707,34
2023-02-09,0.1284716111111111,2.312489,18
2023-02-10,0.1509678,4.529034,30
2023-02-13,0.17781070833333334,4.267457,24
2023-02-14,0.11611003225806452,3.599411,31
2023-02-15,0.1430384090909091,3.146845,22
2023-02-16,0.10522256,2.630564,25
2023-02-17,0.14816283333333333,2.666931,18
2023-02-20,0.053402909090909084,0.587432,11
2023-02-21,0.14678094736842107,2.788838,19
2023-02-22,0.10026584210526317,1.905051,19
2023-02-23,0.1386449090909091,3.050188,22
2023-02-24,0.11843595238095238,2.487155,21
2023-02-27,0.15959013333333333,4.787704,30
2023-02-28,0.10962906451612903,3.398501,31
2023-03-01,0.10521107142857143,2.94591,28
2023-03-02,0.12183988,3.045997,25
2023-03-03,0.09925678378378379,3.672501,37
2023-03-06,0.1895367435897436,7.391933,39
2023-03-07,0.14501173333333334,4.350352,30
2023-03-08,0.10930586363636365,2.404729,22
2023-03-09,0.14280835294117647,4.855484,34
2023-03-10,0.1064375,1.915875,18
2023-03-13,0.15436033333333332,3.241567,21
2023-03-14,0.1219795,2.927508,24
2023-03-15,0.1518244,3.036488,20
2023-03-16,0.09781182499999999,3.912473,40
2023-03-17,0.17081536842105263,3.245492,19
2023-03-20,0.1067784705882353,1.815234,17
2023-03-21,0.19224161538461537,4.998282,26
2023-03-22,0.15829995652173912,3.6408989999999997,23
2023-03-23,0.13366188571428572,4.678166,35
2023-03-24,0.16553843333333335,4.966153,30
2023-03-27,0.13012533333333332,3.513384,27
2023-03-28,0.11877952777777777,4.276063,36
2023-03-29,0.12226478378378379,4.523797,37
2023-03-30,0.12384638709677419,3.839238,31
2023-03-31,0.16376148275862068,4.749083,29
2023-04-03,0.14953861538461538,5.832006,39
2023-04-04,0.12969709677419355,4.0206100000000005,31
2023-04-05,0.10786891428571428,3.7754119999999998,35
2023-04-06,0.08468551851851852,2.286509,27
2023-04-07,0.09288863636363635,1.0217749999999999,11
2023-04-10,0.06713928125,2.148457,32
2023-04-11,0.10409523529411766,3.539238,34
2023-04-12,0.12585917391304347,2.894761,23
2023-04-13,0.09913117647058824,3.37046,34
2023-04-14,0.14752795,2.9505589999999997,20
2023-04-17,0.13275985365853657,5.443154,41
