Date,Sentiment_Score
2023-07-01,0.0998
2023-07-02,0.1975
2023-07-03,0.199
2023-07-04,0.1977
2023-07-05,0.1699
2023-07-06,0.166
2023-07-07,0.1512
2023-07-08,0.1721
2023-07-09,0.1175
2023-07-10,0.1653
2023-07-11,0.1534
2023-07-12,0.1472
2023-07-13,0.1671
2023-07-14,0.1887
2023-07-15,0.0861
2023-07-16,0.2669
2023-07-17,0.169
2023-07-18,0.1534
2023-07-19,0.1324
2023-07-20,0.1421
2023-07-21,0.1904
2023-07-22,0.1918
2023-07-23,0.2649
2023-07-24,0.1292
2023-07-25,0.1405
2023-07-26,0.193
2023-07-27,0.1847
2023-07-28,0.1372
2023-07-29,0.1954
2023-07-30,0.2199
2023-07-31,0.1327
2023-08-01,0.148
2023-08-02,0.1605
2023-08-03,0.0978
2023-08-04,0.1113
2023-08-05,0.179
2023-08-06,0.1934
2023-08-07,0.0925
2023-08-08,0.1467
2023-08-09,0.1044
2023-08-10,0.1715
2023-08-11,0.1659
2023-08-12,0.1474
2023-08-13,0.2433
2023-08-14,0.1095
2023-08-15,0.1616
2023-08-16,0.1851
2023-08-17,0.1627
2023-08-18,0.0525
2023-08-19,0.2315
2023-08-20,0.2379
2023-08-21,0.1276
2023-08-22,0.1821
2023-08-23,0.2042
2023-08-24,0.1664
2023-08-25,0.1258
2023-08-26,0.0863
2023-08-27,0.2189
2023-08-28,0.1212
2023-08-29,0.1806
2023-08-30,0.1505
2023-08-31,0.1875
2023-09-01,0.1593
2023-09-02,0.2098
2023-09-03,0.1405
2023-09-04,0.1995
2023-09-05,0.1483
2023-09-06,0.1039
2023-09-07,0.0385
2023-09-08,0.1088
2023-09-09,0.07
2023-09-10,0.1197
2023-09-11,0.1418
2023-09-12,0.1736
2023-09-13,0.1428
2023-09-14,0.1186
2023-09-15,0.1742
2023-09-16,0.2403
2023-09-17,0.2232
2023-09-18,0.165
2023-09-19,0.147
2023-09-20,0.159
2023-09-21,0.1306
2023-09-22,0.1317
2023-09-23,0.1952
2023-09-24,0.1697
2023-09-25,0.154
2023-09-26,0.1456
2023-09-27,0.1498
2023-09-28,0.1826
2023-09-29,0.1617
2023-09-30,0.1171
2023-10-01,0.2876
2023-10-02,0.2043
2023-10-03,0.1211
2023-10-04,0.109
2023-10-05,0.1949
2023-10-06,0.1259
2023-10-07,0.2091
2023-10-08,0.2106
2023-10-09,0.1748
2023-10-10,0.2074
2023-10-11,0.1841
2023-10-12,0.1052
2023-10-13,0.1794
2023-10-14,0.1696
2023-10-15,0.2558
2023-10-16,0.1385
2023-10-17,0.1741
2023-10-18,0.1486
2023-10-19,0.1592
2023-10-20,0.1488
2023-10-21,0.185
2023-10-22,0.1462
2023-10-23,0.1562
2023-10-24,0.1769
2023-10-25,0.1321
2023-10-26,0.1795
2023-10-27,0.1269
2023-10-28,0.1909
2023-10-29,0.2031
2023-10-30,0.1207
2023-10-31,0.1831
2023-11-01,0.1261
2023-11-02,0.1395
2023-11-03,0.1557
2023-11-04,0.148
2023-11-05,0.1084
2023-11-06,0.1716
2023-11-07,0.1532
2023-11-08,0.1905
2023-11-09,0.162
2023-11-10,0.1478
2023-11-11,0.1476
2023-11-12,0.1781
2023-11-13,0.1782
2023-11-14,0.1544
2023-11-15,0.1914
2023-11-16,0.1811
2023-11-17,0.1531
2023-11-18,0.0797
2023-11-19,0.2117
2023-11-20,0.1511
2023-11-21,0.1421
2023-11-22,0.1694
2023-11-23,0.1672
2023-11-24,0.2035
2023-11-25,0.1721
2023-11-26,0.3369
2023-11-27,0.1782
2023-11-28,0.2243
2023-11-29,0.1686
2023-11-30,0.1479
2023-12-01,0.183
2023-12-02,0.193
2023-12-03,0.2129
2023-12-04,0.2153
2023-12-05,0.174
2023-12-06,0.1896
2023-12-07,0.1814
2023-12-08,0.1741
2023-12-09,0.1959
2023-12-10,0.2344
2023-12-11,0.1955
2023-12-12,0.1847
2023-12-13,0.1507
2023-12-14,0.1813
2023-12-15,0.2173
2023-12-16,0.1934
2023-12-17,0.2537
2023-12-18,0.1906
2023-12-19,0.159
2023-12-20,0.1814
2023-12-21,0.1897
2023-12-22,0.1689
2023-12-23,0.2182
2023-12-24,0.0934
2023-12-25,0.1975
2023-12-26,0.1287
2023-12-27,0.1472
2023-12-28,0.1859
2023-12-29,0.2002
2023-12-30,0.181
2023-12-31,0.2154
